text_group,ads_count,percent_within_real_estate_service
text_presell_or_project,15893,81.91001391537391
construction_or_partnership,1789,9.220223676751017
general_real_estate_service,1108,5.710457145802195
other_real_estate_service,613,3.1593052620728757
