cat3_slug,ads_count
apartment-sell,303385
apartment-rent,211880
plot-old,133570
house-villa-sell,121753
house-villa-rent,64678
shop-rent,45993
shop-sell,21855
office-rent,21418
suite-apartment,16465
presell,15781
villa,12899
industry-agriculture-business-sell,11851
industry-agriculture-business-rent,9155
office-sell,5155
partnership,3622
workspace,539
,1
