city_slug,neighborhood_slug,area,total_ads,amenity_ads,amenity_ratio
rasht,charrah-golsaar,rasht / charrah-golsaar,193,7.0,0.03626943005181347
rasht,rasht-azadegan,rasht / rasht-azadegan,112,3.0,0.026785714285714284
rasht,pir-kola-chay,rasht / pir-kola-chay,398,6.0,0.01507537688442211
rasht,gilan-blvd,rasht / gilan-blvd,1091,13.0,0.011915673693858845
rasht,golsaar,rasht / golsaar,1127,10.0,0.008873114463176575
