variable,log_regular_day_rent,building_size,regular_person_capacity,extra_person_capacity,rooms_count,location_latitude,location_longitude
log_regular_day_rent,1.0,0.012917568350175341,0.07022273698016378,0.09660581627804514,0.17790866600227195,0.07165909943972675,-0.10144970409871916
building_size,0.012917568350175341,1.0,0.030836284313052457,0.029610720757077786,0.008342541506918044,-0.03512293776691824,0.002211931792127002
regular_person_capacity,0.07022273698016378,0.030836284313052457,1.0,0.46432371635098924,0.3684155660785544,-0.06379642727161243,0.06279034034098858
extra_person_capacity,0.09660581627804514,0.029610720757077786,0.46432371635098924,1.0,0.29449077876996016,0.0012132098971353769,0.06516664973798976
rooms_count,0.17790866600227195,0.008342541506918044,0.3684155660785544,0.29449077876996016,1.0,0.01827498621675592,0.015000251861971707
location_latitude,0.07165909943972675,-0.03512293776691824,-0.06379642727161243,0.0012132098971353769,0.01827498621675592,1.0,-0.22743545376720992
location_longitude,-0.10144970409871916,0.002211931792127002,0.06279034034098858,0.06516664973798976,0.015000251861971707,-0.22743545376720992,1.0
