variable,price_value,land_size,building_size,regular_person_capacity,extra_person_capacity,rooms_count,location_latitude,location_longitude
price_value,1.0,0.21228770898086047,0.07913693394289377,,,0.3381267392896458,0.025787506291217975,-0.00197051769670413
land_size,0.21228770898086047,1.0,0.3493559775504127,,,0.08314638528902273,0.05082699109274159,0.007312646448983614
building_size,0.07913693394289377,0.3493559775504127,1.0,0.2667982169003228,0.2769393414500954,0.08378381394337286,-0.01188904591372021,-0.02426583142106753
regular_person_capacity,,,0.2667982169003228,1.0,0.5103267159891245,0.3442661274749377,-0.046036300173938595,0.041901362485348724
extra_person_capacity,,,0.2769393414500954,0.5103267159891245,1.0,0.28988692691782153,0.015886703761252025,0.054663526211160614
rooms_count,0.3381267392896458,0.08314638528902273,0.08378381394337286,0.3442661274749377,0.28988692691782153,1.0,-0.021120635333471253,0.04206418685273302
location_latitude,0.025787506291217975,0.05082699109274159,-0.01188904591372021,-0.046036300173938595,0.015886703761252025,-0.021120635333471253,1.0,-0.2221906632924535
location_longitude,-0.00197051769670413,0.007312646448983614,-0.02426583142106753,0.041901362485348724,0.054663526211160614,0.04206418685273302,-0.2221906632924535,1.0
