created_jalali_year_month,created_jalali_label,rent,sale,sale_pct_change,rent_pct_change
1403-01,فروردین 1403,952,5465,294.01586157173756,824.2718446601941
1403-02,اردیبهشت 1403,31633,71581,1209.807868252516,3222.7941176470586
