city_slug,city_class,city_group
saman-city,شهر کوچک,small_or_village
azadshahr-golestan,شهر کوچک,small_or_village
chabahar,شهر کوچک,small_or_village
astara,شهر کوچک,small_or_village
mahshahr,شهر کوچک,small_or_village
eslamabad-gharb,شهر کوچک,small_or_village
khorramshahr,شهر کوچک,small_or_village
abadeh,شهر کوچک,small_or_village
shazand,شهر کوچک,small_or_village
nazarabad,شهر کوچک,small_or_village
firuzkooh,شهر کوچک,small_or_village
jiroft,شهر کوچک,small_or_village
shal,شهر کوچک,small_or_village
jam,شهر کوچک,small_or_village
taft,شهر کوچک,small_or_village
dayyer,شهر کوچک,small_or_village
jahrom,شهر کوچک,small_or_village
juybar,شهر کوچک,small_or_village
bumehen,شهر کوچک,small_or_village
lashtenesha,شهر کوچک,small_or_village
royan,شهر کوچک,small_or_village
esfarayen,شهر کوچک,small_or_village
shahre-rey,شهر کوچک,small_or_village
javanrud,شهر کوچک,small_or_village
azarshahr,شهر کوچک,small_or_village
kuhdasht,شهر کوچک,small_or_village
hachirud,شهر کوچک,small_or_village
maragheh,شهر کوچک,small_or_village
dorud,شهر کوچک,small_or_village
salmas,شهر کوچک,small_or_village
javadabad,شهر کوچک,small_or_village
someh-sara,شهر کوچک,small_or_village
shushtar,شهر کوچک,small_or_village
pirbazar,شهر کوچک,small_or_village
abrisham-isfahan,شهر کوچک,small_or_village
kazeroon,شهر کوچک,small_or_village
babolsar,شهر کوچک,small_or_village
sarab,شهر کوچک,small_or_village
mohammad-shahr,شهر کوچک,small_or_village
izeh,شهر کوچک,small_or_village
bahar-city,شهر کوچک,small_or_village
shirvan,شهر کوچک,small_or_village
torghabeh-city,شهر کوچک,small_or_village
bam,شهر کوچک,small_or_village
dogonbadan,شهر کوچک,small_or_village
torbat-heydariyeh,شهر کوچک,small_or_village
abyek,شهر کوچک,small_or_village
ferdosiye,شهر کوچک,small_or_village
kalale,شهر کوچک,small_or_village
fuman,شهر کوچک,small_or_village
katalem-sadatshahr,شهر کوچک,small_or_village
sahand,شهر کوچک,small_or_village
damavand,شهر کوچک,small_or_village
fasham-city,شهر کوچک,small_or_village
zibakenar,شهر کوچک,small_or_village
darab,شهر کوچک,small_or_village
daran,شهر کوچک,small_or_village
abadan,شهر کوچک,small_or_village
baft,شهر کوچک,small_or_village
khalkhal,شهر کوچک,small_or_village
absard,شهر کوچک,small_or_village
pareh-sar,شهر کوچک,small_or_village
dehloran,شهر کوچک,small_or_village
khorramdarreh,شهر کوچک,small_or_village
chenaran,شهر کوچک,small_or_village
abhar,شهر کوچک,small_or_village
shanderman,شهر کوچک,small_or_village
qeshm,شهر کوچک,small_or_village
sarpol-zahab,شهر کوچک,small_or_village
chahar-dangeh,شهر کوچک,small_or_village
tankaman,شهر کوچک,small_or_village
lenjan,شهر کوچک,small_or_village
asadabad,شهر کوچک,small_or_village
baneh,شهر کوچک,small_or_village
ahmadsar-gourab,شهر کوچک,small_or_village
saqqez,شهر کوچک,small_or_village
mianeh,شهر کوچک,small_or_village
lavandevil,شهر کوچک,small_or_village
