group,value_column,shapiro_statistic,p_value,alpha,decision
old_before_1396,building_size,0.7552280100842504,1.8233014553410403e-65,0.05,normality rejected
new_1396_or_after,building_size,0.7983288526263025,9.559985830187057e-62,0.05,normality rejected
