city_slug,neighborhood_slug,area,total_ads,amenity_ads
rasht,toushiba,rasht / toushiba,694,6.0
rasht,golsaar,rasht / golsaar,1127,5.0
rasht,charrah-golsaar,rasht / charrah-golsaar,193,4.0
rasht,gilan-blvd,rasht / gilan-blvd,1091,3.0
rasht,esmaeil-abad,rasht / esmaeil-abad,438,3.0
rasht,pir-kola-chay,rasht / pir-kola-chay,398,3.0
rasht,pol-taleshan,rasht / pol-taleshan,1017,3.0
