variable,log_price_value,land_size,building_size,rooms_count,location_latitude,location_longitude
log_price_value,1.0,0.2050279440587731,0.005133260870855912,0.42207221835108094,0.03558100814281633,-0.014674595920728171
land_size,0.2050279440587731,1.0,0.3627421016625901,-0.014569632161666988,0.03943659345216382,0.002813575100008044
building_size,0.005133260870855912,0.3627421016625901,1.0,0.11198740673424985,-0.015572455790935738,-0.026903852126922898
rooms_count,0.42207221835108094,-0.014569632161666988,0.11198740673424985,1.0,-0.05245992045699491,0.055481309078770934
location_latitude,0.03558100814281633,0.03943659345216382,-0.015572455790935738,-0.05245992045699491,1.0,-0.22148258031162282
location_longitude,-0.014674595920728171,0.002813575100008044,-0.026903852126922898,0.055481309078770934,-0.22148258031162282,1.0
