city_slug,neighborhood_slug,area,total_ads,amenity_ads,amenity_ratio
rasht,charrah-golsaar,rasht / charrah-golsaar,193,4.0,0.02072538860103627
rasht,toushiba,rasht / toushiba,694,6.0,0.008645533141210375
rasht,pir-kola-chay,rasht / pir-kola-chay,398,3.0,0.007537688442211055
rasht,esmaeil-abad,rasht / esmaeil-abad,438,3.0,0.00684931506849315
rasht,golsaar,rasht / golsaar,1127,5.0,0.0044365572315882874
rasht,pol-taleshan,rasht / pol-taleshan,1017,3.0,0.0029498525073746312
rasht,gilan-blvd,rasht / gilan-blvd,1091,3.0,0.002749770852428964
