city_slug,neighborhood_slug,area,total_ads,amenity_ads
rasht,gilan-blvd,rasht / gilan-blvd,1091,13.0
rasht,golsaar,rasht / golsaar,1127,10.0
rasht,charrah-golsaar,rasht / charrah-golsaar,193,7.0
rasht,pir-kola-chay,rasht / pir-kola-chay,398,6.0
rasht,rasht-azadegan,rasht / rasht-azadegan,112,3.0
