amenity,non_null_count,positive_count,positive_percent_selected_ads,positive_percent_non_null
has_balcony,233635,194982,51.801256097172185,83.45581783551266
has_elevator,289852,202554,53.81292441100519,69.88187074782992
has_security_guard,3191,67,0.017800023379135187,2.0996552804763398
has_barbecue,3228,184,0.048883646294938424,5.700123915737299
has_pool,3187,73,0.01939405532353535,2.2905553812362722
