created_jalali_year,ads_count,nominal_mean_price,nominal_median_price,real_mean_price_1400,real_median_price_1400
1400,3,1066666666.6666666,1200000000.0,1066666666.6666666,1200000000.0
1401,43,7969302325.581395,2200000000.0,5465913803.553768,1508916323.7311385
1402,3971,5694892776.232435,2750000000.0,2776642016.690607,1340809361.287177
1403,535532,5564309149.582989,2960000000.0,2047960673.3835073,1089436878.9105632
